,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
100,"Sweater Weather","The Neighbourhood",2896042,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
101,Tusa,"KAROL G",2870548,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
102,"SICKO MODE","Travis Scott",2854587,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
103,"Me Gusta (with Cardi B & Myke Towers)",Anitta,2833504,https://open.spotify.com/track/7e1VoRlNumuEkXlITMHKLE
104,"Say You Won't Let Go","James Arthur",2828005,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
105,"Djadja (feat. Maluma) - Remix","Aya Nakamura",2805208,https://open.spotify.com/track/13vDU8nPsvTGEVTMB8Vw7g
106,"GREECE (feat. Drake)","DJ Khaled",2804967,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
107,Believer,"Imagine Dragons",2796728,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
108,"Smile (with The Weeknd)","Juice WRLD",2787419,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
109,Dior,"Pop Smoke",2766014,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
110,"Be Kind (with Halsey)",Marshmello,2764613,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
111,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685",2764046,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL
112,"Life Is Good (feat. Drake)",Future,2733957,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
113,"Party Girl",StaySolidRocky,2727516,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
114,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",2687301,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
115,"Martin & Gina","Polo G",2637455,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
